Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.01.2025;28.15;27.53;29.13;27.42;6.06M;2.89%
01.12.2024;27.36;28.12;28.7;26.12;7.29M;-2.91%
01.11.2024;28.18;30.73;30.81;28.03;4.63M;-7.39%
01.10.2024;30.43;30.35;31.93;30.11;6.53M;0.4%
01.09.2024;30.31;31.83;32.23;29.96;5.79M;-6.94%
01.08.2024;32.57;31.64;33.12;30.22;4.42M;1.62%
01.07.2024;32.05;31.45;32.18;29.58;4.50M;4.09%
01.06.2024;30.79;31.75;31.75;28.82;10.82M;-2.35%
01.05.2024;31.53;31.92;32.94;30.63;8.85M;-1.56%
01.04.2024;32.03;31.79;33.78;31.64;4.92M;0.98%
01.03.2024;31.72;30.87;32.85;30.75;4.39M;3.15%
01.02.2024;30.75;32.03;32.22;30.37;5.80M;-3.76%
01.01.2024;31.95;33.98;34.3;30.98;6.10M;-6.06%
01.12.2023;34.01;33;34.29;31.71;7.04M;2.63%
01.11.2023;33.14;32.69;33.53;31.48;5.68M;1.78%
01.10.2023;32.56;31.96;33.35;30.1;6.93M;2.01%
01.09.2023;31.92;31.54;33;31.34;7.80M;3.1%
01.08.2023;30.96;30.52;31.6;29.45;3.70M;1.01%
01.07.2023;30.65;29.17;30.83;28.19;4.10M;6.46%
01.06.2023;28.79;26.96;28.84;26.92;5.33M;8.4%
01.05.2023;26.56;30.31;30.35;26.5;5.89M;-12.29%
01.04.2023;30.28;29.29;30.82;29.04;6.10M;8.14%
01.03.2023;28;28.29;29.06;25.1;9.88M;-1.27%
01.02.2023;28.36;30.4;32.21;27.79;9.55M;-8.22%
01.01.2023;30.9;29.12;31.71;28.5;7.07M;7.82%
01.12.2022;28.66;29.69;29.79;27.32;9.46M;-3.21%
01.11.2022;29.61;27.06;30.2;26.3;10.60M;12.41%
01.10.2022;26.34;21.95;26.44;21.89;8.89M;24.6%
01.09.2022;21.14;23.42;24.41;20.38;10.67M;-10.5%
01.08.2022;23.62;24.26;25.14;22.95;12.79M;-1.67%
01.07.2022;24.02;23.61;24.09;20.88;10.52M;0.88%
01.06.2022;23.81;30.45;31.29;23.39;13.13M;-21.42%
01.05.2022;30.3;27.88;30.93;27.42;12.81M;8.95%
01.04.2022;27.81;29.53;31.03;27.06;10.62M;-4.92%
01.03.2022;29.25;31.64;32.56;27.61;16.76M;-5.55%
01.02.2022;30.97;29.98;31.35;29.37;12.08M;3.37%
01.01.2022;29.96;28.06;30.95;28.05;9.36M;8.35%
01.12.2021;27.65;27.12;28.4;26.31;8.60M;4.77%
01.11.2021;26.39;29.42;29.76;26.05;6.66M;-8.34%
01.10.2021;28.79;26.66;29.04;26.56;10.01M;7.63%
01.09.2021;26.75;24.79;26.88;24.16;5.36M;8.83%
01.08.2021;24.58;23.79;24.8;23.36;4.05M;4.6%
01.07.2021;23.5;24.86;24.93;21.91;3.58M;-3.65%
01.06.2021;24.39;25.11;26.18;24.17;4.38M;-0.69%
01.05.2021;24.56;24.32;25.92;24.27;6.11M;3.02%
01.04.2021;23.84;24.91;25.23;23.8;5.33M;-3.52%
01.03.2021;24.71;23.02;24.99;22.8;9.33M;8,00%
01.02.2021;22.88;20.11;23.98;19.76;8.09M;13.55%
01.01.2021;20.15;21.1;22.52;20.09;7.40M;-2.18%
01.12.2020;20.6;20.17;21.85;19.94;7.15M;4.99%
01.11.2020;19.62;14.49;20.77;14.31;11.10M;40.34%
01.10.2020;13.98;15.39;16.46;13.36;12.29M;-10.04%
01.09.2020;15.54;18.44;18.64;15.42;7.57M;-16.45%
01.08.2020;18.6;17.55;19.82;17.51;3.99M;5.56%
01.07.2020;17.62;19.02;20.46;17.49;6.44M;-8.56%
01.06.2020;19.27;18.28;22.21;18.25;9.23M;5.88%
01.05.2020;18.2;18.34;19.57;17.61;6.24M;-3.09%
01.04.2020;18.78;20.42;21.89;17.21;8.73M;-5.25%
01.03.2020;19.82;24.71;25.43;12.1;17.36M;-20.72%
01.02.2020;25;27.92;28.87;24.19;7.35M;-10.68%
